CCL	Matches	Library	All_variants	P_values	P_value_sig	Above_Penalty	Identification_sig
HT29	665	CELLMINER	665	0	TRUE	TRUE	TRUE
786_0	56	CELLMINER	524	6.23211213626134e-29	TRUE	TRUE	TRUE
SF_539	12	CELLMINER	340	0.00709736496313481	FALSE	TRUE	FALSE
OVCAR_4	6	CELLMINER	312	0.343214242140574	FALSE	TRUE	FALSE
ACHN	3	CELLMINER	196	0.576037093091716	FALSE	TRUE	FALSE
COLO205	5	CELLMINER	343	0.601338651475119	FALSE	TRUE	FALSE
OVCAR_5	4	CELLMINER	279	0.616721966802719	FALSE	TRUE	FALSE
T47D	7	CELLMINER	519	0.679085012395954	FALSE	TRUE	FALSE
HL_60	3	CELLMINER	235	0.696179854496601	FALSE	TRUE	FALSE
RXF_393	4	CELLMINER	333	0.74792917393654	FALSE	TRUE	FALSE
U251	7	CELLMINER	584	0.787488020822722	FALSE	TRUE	FALSE
NCI_H226	2	CELLMINER	202	0.81390804370252	FALSE	TRUE	FALSE
A498	3	CELLMINER	289	0.81742541784779	FALSE	TRUE	FALSE
A549	4	CELLMINER	377	0.826983305132683	FALSE	TRUE	FALSE
OVCAR_3	3	CELLMINER	295	0.827963222977597	FALSE	TRUE	FALSE
NCI_H460	5	CELLMINER	473	0.847807635034685	FALSE	TRUE	FALSE
PC_3	2	CELLMINER	229	0.864521183046404	FALSE	TRUE	FALSE
HS578T	7	CELLMINER	674	0.888930320806147	FALSE	TRUE	FALSE
SR	2	CELLMINER	259	0.905738749839953	FALSE	TRUE	FALSE
CAKI_1	2	CELLMINER	264	0.911348413118689	FALSE	TRUE	FALSE
OVCAR_8	2	CELLMINER	298	0.941935675800041	FALSE	TRUE	FALSE
SF_268	2	CELLMINER	306	0.947510936164183	FALSE	TRUE	FALSE
K_562	4	CELLMINER	509	0.951445635589098	FALSE	TRUE	FALSE
EKVX	5	CELLMINER	623	0.960935657463393	FALSE	TRUE	FALSE
MDA_MB_231	3	CELLMINER	438	0.9631585624283	FALSE	TRUE	FALSE
SNB_19	1	CELLMINER	231	0.970882569752869	FALSE	TRUE	FALSE
MCF7	7	CELLMINER	854	0.975571722821919	FALSE	TRUE	FALSE
UACC_62	8	CELLMINER	950	0.977056221477012	FALSE	TRUE	FALSE
TK_10	3	CELLMINER	483	0.978157231893042	FALSE	TRUE	FALSE
NCI_ADR_RES	2	CELLMINER	382	0.980309611495498	FALSE	TRUE	FALSE
RPMI_8226	5	CELLMINER	696	0.981193706094105	FALSE	TRUE	FALSE
MALME_3M	2	CELLMINER	401	0.984669633973559	FALSE	TRUE	FALSE
SK_MEL_28	3	CELLMINER	558	0.991121346644158	FALSE	TRUE	FALSE
LOXIMVI	4	CELLMINER	695	0.993671078081356	FALSE	TRUE	FALSE
NCI_H522	1	CELLMINER	354	0.995594417122699	FALSE	TRUE	FALSE
SK_MEL_2	6	CELLMINER	956	0.996525694607412	FALSE	TRUE	FALSE
HOP_62	4	CELLMINER	779	0.997636841889334	FALSE	TRUE	FALSE
SK_OV_3	1	CELLMINER	458	0.999110272567133	FALSE	TRUE	FALSE
HOP_92	1	CELLMINER	464	0.999188778596521	FALSE	TRUE	FALSE
NCI_H322M	2	CELLMINER	651	0.999498416259802	FALSE	TRUE	FALSE
SK_MEL_5	1	CELLMINER	565	0.999828905908563	FALSE	TRUE	FALSE
CCRF_CEM	7	CELLMINER	1469	0.999963438589278	FALSE	TRUE	FALSE
NCI_H23	3	CELLMINER	1052	0.99998628459636	FALSE	TRUE	FALSE
MDA_N	6	CELLMINER	1751	0.999999742337762	FALSE	TRUE	FALSE
M14	4	CELLMINER	1587	0.999999938014626	FALSE	TRUE	FALSE
IGROV1	1	CELLMINER	1090	0.99999994967903	FALSE	TRUE	FALSE
MDA_MB_435	4	CELLMINER	1794	0.999999996551433	FALSE	TRUE	FALSE
HCT_116	11	CELLMINER	3156	0.999999999988125	FALSE	TRUE	FALSE
KM12	12	CELLMINER	3556	0.999999999999663	FALSE	TRUE	FALSE
DU_145	2	CELLMINER	2176	0.99999999999993	FALSE	TRUE	FALSE
MOLT_4	11	CELLMINER	4339	1	FALSE	TRUE	FALSE
HCC_2998	7	CELLMINER	9374	1	FALSE	TRUE	FALSE
HCT_15	4	CELLMINER	8345	1	FALSE	TRUE	FALSE
BT_549	0	CELLMINER	309	1	FALSE	FALSE	FALSE
SF_295	0	CELLMINER	268	1	FALSE	FALSE	FALSE
SN12C	0	CELLMINER	734	1	FALSE	FALSE	FALSE
SNB_75	0	CELLMINER	245	1	FALSE	FALSE	FALSE
SW_620	0	CELLMINER	486	1	FALSE	FALSE	FALSE
UACC_257	0	CELLMINER	458	1	FALSE	FALSE	FALSE
UO_31	0	CELLMINER	350	1	FALSE	FALSE	FALSE
