CL	Count
22RV1_CCLE	10624
2313287_CCLE	10270
253JBV_CCLE	4454
253J_CCLE	7896
42MGBA_CCLE	8051
5637_CCLE	10341
59M_CCLE	8380
639V_CCLE	7586
647V_CCLE	7594
697_CCLE	7131
769P_CCLE	8678
786O_CCLE	8399
8305C_CCLE	10035
8505C_CCLE	7639
8MGBA_CCLE	8036
A101D_CCLE	6454
A172_CCLE	9293
A204_CCLE	9362
A2058_CCLE	4865
A253_CCLE	7471
A2780_CCLE	13588
A375_CCLE	6632
A3KAW_CCLE	8005
A498_CCLE	8272
A4FUK_CCLE	9450
A549_CCLE	9932
A673_CCLE	9974
A704_CCLE	10306
ABC1_CCLE	7850
ACCMESO1_CCLE	7931
ACCS_CCLE	7833
ACHN_CCLE	7461
AGS_CCLE	9983
ALEXANDERCELLS_CCLE	11601
ALLSIL_CCLE	7849
AM38_CCLE	8593
AML193_CCLE	9153
AMO1_CCLE	9494
AN3CA_CCLE	8801
ASPC1_CCLE	8823
AU565_CCLE	7746
BCP1_CCLE	7576
BCPAP_CCLE	7959
BDCM_CCLE	8379
BECKER_CCLE	8372
BEN_CCLE	6627
BFTC905_CCLE	7664
BFTC909_CCLE	8711
BHY_CCLE	8733
BICR16_CCLE	8189
BICR18_CCLE	12703
BICR31_CCLE	7558
BICR56_CCLE	9018
BICR6_CCLE	8180
BL41_CCLE	8676
BL70_CCLE	8180
BT20_CCLE	7915
BT474_CCLE	8597
BT483_CCLE	7086
BT549_CCLE	7918
BV173_CCLE	8656
BXPC3_CCLE	7058
C2BBE1_CCLE	6999
C32_CCLE	8757
C3A_CCLE	9153
CA46_CCLE	8883
CADOES1_CCLE	9702
CAKI1_CCLE	8942
CAKI2_CCLE	7517
CAL120_CCLE	7377
CAL12T_CCLE	10719
CAL148_CCLE	6990
CAL27_CCLE	8099
CAL29_CCLE	8471
CAL33_CCLE	9323
CAL51_CCLE	8718
CAL54_CCLE	8415
CAL62_CCLE	7356
CAL78_CCLE	8952
CAL851_CCLE	4256
CALU1_CCLE	8438
CALU3_CCLE	7861
CALU6_CCLE	7985
CAMA1_CCLE	8640
CAOV3_CCLE	7638
CAOV4_CCLE	8739
CAPAN1_CCLE	7567
CAPAN2_CCLE	7905
CAS1_CCLE	7744
CCFSTTG1_CCLE	8288
CCK81_CCLE	11669
CFPAC1_CCLE	8709
CGTHW1_CCLE	9071
CHAGOK1_CCLE	6857
CHL1_CCLE	9271
CHP212_CCLE	8998
CI1_CCLE	9445
CJM_CCLE	8921
CL11_CCLE	7430
CL14_CCLE	6808
CL34_CCLE	8833
CL40_CCLE	5299
CMK115_CCLE	9040
CMK_CCLE	7932
CMLT1_CCLE	9166
COLO201_CCLE	6817
COLO205_CCLE	8359
COLO320_CCLE	6814
COLO668_CCLE	6265
COLO679_CCLE	10042
COLO680N_CCLE	10397
COLO684_CCLE	8396
COLO699_CCLE	8314
COLO704_CCLE	8578
COLO741_CCLE	8353
COLO775_CCLE	8814
COLO783_CCLE	7896
COLO792_CCLE	9637
COLO818_CCLE	8184
COLO829_CCLE	8955
CORL23_CCLE	7349
CORL24_CCLE	7908
CORL279_CCLE	9085
CORL47_CCLE	10209
CORL51_CCLE	7195
CORL88_CCLE	7599
CORL95_CCLE	7968
COV318_CCLE	8842
COV362_CCLE	8319
COV434_CCLE	7891
COV504_CCLE	8579
COV644_CCLE	8799
CPCN_CCLE	8459
CW2_CCLE	13601
D341MED_CCLE	8284
DANG_CCLE	6627
DAOY_CCLE	8785
DAUDI_CCLE	11550
DBTRG05MG_CCLE	8831
DB_CCLE	7244
DEL_CCLE	3464
DETROIT562_CCLE	7829
DKMG_CCLE	8358
DM3_CCLE	9154
DMS114_CCLE	8436
DMS153_CCLE	7072
DMS273_CCLE	8931
DMS454_CCLE	8321
DMS53_CCLE	7797
DMS79_CCLE	7518
DND41_CCLE	6929
DOHH2_CCLE	9489
DU145_CCLE	5593
DU4475_CCLE	7495
DV90_CCLE	11150
EB2_CCLE	11091
EBC1_CCLE	7126
ECC10_CCLE	8941
ECC12_CCLE	8681
ECGI10_CCLE	8673
EFE184_CCLE	7711
EFM192A_CCLE	8293
EFM19_CCLE	9071
EFO21_CCLE	6731
EFO27_CCLE	10871
EHEB_CCLE	9115
EJM_CCLE	7469
EM2_CCLE	7163
EN_CCLE	9656
EOL1_CCLE	8074
EPLC272H_CCLE	8753
ES2_CCLE	8806
ESS1_CCLE	9847
EVSAT_CCLE	8468
F36P_CCLE	6901
FADU_CCLE	7097
FTC133_CCLE	7920
FTC238_CCLE	8056
FU97_CCLE	8051
FUOV1_CCLE	9053
G361_CCLE	9518
G401_CCLE	8734
G402_CCLE	9798
GAMG_CCLE	7693
GCIY_CCLE	8015
GCT_CCLE	9323
GDM1_CCLE	8971
GI1_CCLE	8220
GMS10_CCLE	7750
GOS3_CCLE	8575
GP2D_CCLE	10413
GRANTA519_CCLE	7557
GSS_CCLE	9593
GSU_CCLE	8926
H4_CCLE	8746
HARA_CCLE	9063
HCC1143_CCLE	8701
HCC1171_CCLE	8419
HCC1187_CCLE	7771
HCC1195_CCLE	10332
HCC1359_CCLE	8709
HCC1395_CCLE	8285
HCC1419_CCLE	6470
HCC1428_CCLE	5224
HCC1438_CCLE	6980
HCC1500_CCLE	7481
HCC1569_CCLE	8173
HCC1588_CCLE	3815
HCC1599_CCLE	5702
HCC15_CCLE	9010
HCC1806_CCLE	9508
HCC1833_CCLE	5860
HCC1954_CCLE	7792
HCC202_CCLE	7325
HCC2108_CCLE	4077
HCC2157_CCLE	9113
HCC2218_CCLE	8622
HCC2279_CCLE	8400
HCC2935_CCLE	7849
HCC33_CCLE	9379
HCC366_CCLE	8413
HCC38_CCLE	7302
HCC4006_CCLE	6011
HCC44_CCLE	7602
HCC56_CCLE	8211
HCC70_CCLE	9831
HCC78_CCLE	8127
HCC827_CCLE	6832
HCC95_CCLE	8801
HCT116_CCLE	8250
HCT15_CCLE	12385
HDLM2_CCLE	8149
HDMYZ_CCLE	8133
HEC108_CCLE	13825
HEC151_CCLE	11417
HEC1A_CCLE	10097
HEC1B_CCLE	10606
HEC251_CCLE	13418
HEC265_CCLE	11040
HEC50B_CCLE	8148
HEC59_CCLE	10424
HEC6_CCLE	10651
HEL9217_CCLE	8851
HEL_CCLE	8763
HEPG2_CCLE	9279
HEYA8_CCLE	9234
HGC27_CCLE	7626
HH_CCLE	9290
HLFA_CCLE	10994
HLF_CCLE	8386
HMC18_CCLE	8002
HOS_CCLE	8465
HPAFII_CCLE	8632
HPBALL_CCLE	8871
HRT18_CCLE	12188
HS172T_CCLE	6102
HS229T_CCLE	8715
HS281T_CCLE	9908
HS343T_CCLE	8902
HS571T_CCLE	9167
HS578T_CCLE	8709
HS600T_CCLE	8632
HS604T_CCLE	9571
HS611T_CCLE	8522
HS616T_CCLE	9273
HS618T_CCLE	8529
HS675T_CCLE	8348
HS683_CCLE	7264
HS688AT_CCLE	9070
HS695T_CCLE	8141
HS698T_CCLE	9658
HS706T_CCLE	8259
HS729_CCLE	8637
HS737T_CCLE	9196
HS739T_CCLE	11166
HS742T_CCLE	9904
HS746T_CCLE	8434
HS751T_CCLE	9542
HS766T_CCLE	9275
HS819T_CCLE	9427
HS821T_CCLE	9734
HS822T_CCLE	9364
HS834T_CCLE	9661
HS839T_CCLE	9093
HS840T_CCLE	9475
HS852T_CCLE	7505
HS863T_CCLE	8832
HS888T_CCLE	7941
HS895T_CCLE	8730
HS934T_CCLE	9578
HS936T_CCLE	8702
HS940T_CCLE	8903
HS944T_CCLE	6802
HSC2_CCLE	8146
HSC3_CCLE	8886
HSC4_CCLE	7857
HT1080_CCLE	8820
HT115_CCLE	8308
HT1376_CCLE	7916
HT144_CCLE	9341
HT29_CCLE	9976
HT55_CCLE	5956
HTK_CCLE	7673
HT_CCLE	10104
HUCCT1_CCLE	9159
HUG1N_CCLE	7332
HUH28_CCLE	8088
HUH6_CCLE	8822
HUH7_CCLE	8292
HUNS1_CCLE	7461
HUPT3_CCLE	8234
HUPT4_CCLE	8923
HUT102_CCLE	10766
HUT78_CCLE	9375
IALM_CCLE	7581
IGR37_CCLE	8401
IGR39_CCLE	8200
IGROV1_CCLE	10959
IM95_CCLE	12265
IMR32_CCLE	8987
IPC298_CCLE	10251
ISHIKAWAHERAKLIO02ER_CCLE	9799
ISTMES1_CCLE	9364
ISTMES2_CCLE	8737
J82_CCLE	8486
JEKO1_CCLE	6564
JHH1_CCLE	8031
JHH2_CCLE	6976
JHH4_CCLE	8218
JHH5_CCLE	9690
JHH6_CCLE	8335
JHH7_CCLE	8888
JHOC5_CCLE	8875
JHOM1_CCLE	8948
JHOM2B_CCLE	8849
JHOS2_CCLE	9582
JHOS4_CCLE	8057
JHUEM1_CCLE	6083
JHUEM2_CCLE	12077
JHUEM7_CCLE	11161
JIMT1_CCLE	7136
JJN3_CCLE	8041
JK1_CCLE	8402
JL1_CCLE	5078
JM1_CCLE	8557
JMSU1_CCLE	8686
JVM2_CCLE	8676
JVM3_CCLE	9491
K029AX_CCLE	8596
K562_CCLE	7317
KALS1_CCLE	8624
KARPAS299_CCLE	8889
KARPAS620_CCLE	7637
KASUMI1_CCLE	9325
KASUMI2_CCLE	9641
KASUMI6_CCLE	7762
KATOIII_CCLE	8560
KCL22_CCLE	8095
KE37_CCLE	7987
KE39_CCLE	8255
KE97_CCLE	7974
KELLY_CCLE	8594
KG1_CCLE	10554
KHM1B_CCLE	8242
KIJK_CCLE	9256
KLE_CCLE	8883
KM12_CCLE	9136
KMBC2_CCLE	7861
KMH2_CCLE	8769
KMM1_CCLE	7182
KMRC1_CCLE	8682
KMRC20_CCLE	8625
KMRC2_CCLE	9075
KMRC3_CCLE	8557
KMS11_CCLE	9223
KMS12BM_CCLE	11066
KMS20_CCLE	8877
KMS21BM_CCLE	7628
KMS26_CCLE	8194
KMS27_CCLE	8281
KMS28BM_CCLE	7493
KMS34_CCLE	7248
KNS42_CCLE	8782
KNS60_CCLE	8157
KNS62_CCLE	9230
KO52_CCLE	8757
KOPN8_CCLE	7550
KP1NL_CCLE	8104
KP1N_CCLE	6502
KP2_CCLE	8141
KP3_CCLE	7815
KP4_CCLE	8831
KPL1_CCLE	7924
KPNRTBM1_CCLE	7297
KPNSI9S_CCLE	8433
KPNYN_CCLE	8095
KS1_CCLE	9928
KU1919_CCLE	8006
KU812_CCLE	8248
KURAMOCHI_CCLE	6728
KYM1_CCLE	9308
KYO1_CCLE	8698
KYSE140_CCLE	9076
KYSE150_CCLE	8386
KYSE180_CCLE	10448
KYSE270_CCLE	6606
KYSE30_CCLE	7668
KYSE410_CCLE	8037
KYSE450_CCLE	8108
KYSE510_CCLE	8621
KYSE520_CCLE	7737
KYSE70_CCLE	7388
L1236_CCLE	8745
L33_CCLE	9472
L363_CCLE	8235
L428_CCLE	7744
L540_CCLE	7519
LC1F_CCLE	7950
LC1SQSF_CCLE	9385
LCLC103H_CCLE	7597
LCLC97TM1_CCLE	8224
LI7_CCLE	7631
LK2_CCLE	6540
LMSU_CCLE	8735
LN18_CCLE	8099
LN229_CCLE	7890
LNCAPCLONEFGC_CCLE	8823
LOUCY_CCLE	8627
LOUNH91_CCLE	7787
LOVO_CCLE	9915
LOXIMVI_CCLE	7725
LP1_CCLE	8952
LS1034_CCLE	8478
LS123_CCLE	8868
LS180_CCLE	10356
LS411N_CCLE	10863
LS513_CCLE	6723
LU65_CCLE	9015
LU99_CCLE	8809
LUDLU1_CCLE	8032
LXF289_CCLE	7408
M059K_CCLE	9253
M07E_CCLE	9071
MALME3M_CCLE	9314
MC116_CCLE	8741
MCAS_CCLE	9191
MCF7_CCLE	4868
MDAMB134VI_CCLE	9356
MDAMB231_CCLE	7832
MDAMB361_CCLE	9633
MDAMB415_CCLE	5184
MDAMB435S_CCLE	5783
MDAMB436_CCLE	6562
MDAMB453_CCLE	7854
MDAMB468_CCLE	7226
MDAPCA2B_CCLE	10773
MDST8_CCLE	9247
ME1_CCLE	9554
MEC1_CCLE	6887
MEG01_CCLE	7921
MELHO_CCLE	8754
MELJUSO_CCLE	9494
MEWO_CCLE	10281
MFE280_CCLE	7967
MFE296_CCLE	8029
MFE319_CCLE	11805
MG63_CCLE	8785
MHHCALL2_CCLE	6672
MHHCALL3_CCLE	8789
MHHCALL4_CCLE	8448
MHHES1_CCLE	8479
MHHNB11_CCLE	7889
MIAPACA2_CCLE	7802
MINO_CCLE	9440
MJ_CCLE	8586
MKN1_CCLE	7703
MKN74_CCLE	8001
MKN7_CCLE	7722
ML1_CCLE	8864
MM1S_CCLE	9724
MOGGCCM_CCLE	7313
MOGGUVW_CCLE	6190
MOLM13_CCLE	8597
MOLM16_CCLE	7583
MOLM6_CCLE	7809
MOLP2_CCLE	8585
MOLP8_CCLE	8059
MOLT13_CCLE	8911
MOLT16_CCLE	11365
MONOMAC1_CCLE	8654
MONOMAC6_CCLE	8529
MORCPR_CCLE	7592
MOTN1_CCLE	7754
MPP89_CCLE	8404
MSTO211H_CCLE	8219
MUTZ3_CCLE	9116
MUTZ5_CCLE	9317
MV411_CCLE	8204
NALM19_CCLE	8674
NALM1_CCLE	10015
NALM6_CCLE	9218
NAMALWA_CCLE	10601
NB1_CCLE	9181
NB4_CCLE	8445
NCCSTCK140_CCLE	8921
NCIH1048_CCLE	10659
NCIH1092_CCLE	8362
NCIH1105_CCLE	8392
NCIH1184_CCLE	7485
NCIH1299_CCLE	7981
NCIH1339_CCLE	9750
NCIH1341_CCLE	8601
NCIH1355_CCLE	9277
NCIH1373_CCLE	10861
NCIH1385_CCLE	6373
NCIH1435_CCLE	8792
NCIH1436_CCLE	3971
NCIH1437_CCLE	7526
NCIH146_CCLE	8149
NCIH1563_CCLE	9496
NCIH1568_CCLE	8691
NCIH1573_CCLE	8818
NCIH1581_CCLE	7613
NCIH1618_CCLE	8756
NCIH1623_CCLE	8387
NCIH1648_CCLE	9995
NCIH1650_CCLE	8532
NCIH1651_CCLE	8189
NCIH1666_CCLE	10342
NCIH1693_CCLE	7889
NCIH1694_CCLE	7054
NCIH1703_CCLE	8258
NCIH1734_CCLE	8144
NCIH1755_CCLE	2756
NCIH1781_CCLE	7723
NCIH1792_CCLE	8331
NCIH1793_CCLE	8118
NCIH1836_CCLE	8893
NCIH1838_CCLE	8456
NCIH1869_CCLE	5798
NCIH1876_CCLE	8022
NCIH1915_CCLE	8896
NCIH1930_CCLE	9943
NCIH1944_CCLE	8689
NCIH1963_CCLE	9325
