CL	Count
201T_COSMIC	551
22RV1_COSMIC	2513
23132-87_COSMIC	2505
42-MG-BA_COSMIC	262
451LU_COSMIC	725
5637_COSMIC	752
639-V_COSMIC	2210
647-V_COSMIC	619
697_COSMIC	263
769-P_COSMIC	296
786-0_COSMIC	344
8-MG-BA_COSMIC	276
8305C_COSMIC	505
8505C_COSMIC	449
A101D_COSMIC	248
A172_COSMIC	381
A204_COSMIC	205
A2058_COSMIC	577
A253_COSMIC	511
A2780_COSMIC	593
A3-KAW_COSMIC	850
A375_COSMIC	667
A388_COSMIC	440
A4-FUK_COSMIC	511
A427_COSMIC	537
A431_COSMIC	644
A498_COSMIC	243
A549_COSMIC	382
A673_COSMIC	175
A704_COSMIC	457
ABC-1_COSMIC	661
ACHN_COSMIC	144
ACN_COSMIC	534
AGS_COSMIC	1078
ALL-PO_COSMIC	335
ALL-SIL_COSMIC	295
AM-38_COSMIC	567
AMO-1_COSMIC	754
AN3-CA_COSMIC	3003
ARH-77_COSMIC	249
ASH-3_COSMIC	685
ASPC-1_COSMIC	289
ATN-1_COSMIC	601
AU565_COSMIC	586
BALL-1_COSMIC	488
BB30-HNC_COSMIC	105
BB49-HNC_COSMIC	200
BB65-RCC_COSMIC	94
BC-1_COSMIC	311
BC-3_COSMIC	1075
BCPAP_COSMIC	355
BE-13_COSMIC	585
BE2-M17_COSMIC	496
BECKER_COSMIC	386
BEN_COSMIC	587
BFTC-905_COSMIC	696
BFTC-909_COSMIC	624
BHT-101_COSMIC	247
BHY_COSMIC	544
BICR10_COSMIC	318
BICR22_COSMIC	315
BICR31_COSMIC	208
BICR78_COSMIC	262
BL-41_COSMIC	345
BL-70_COSMIC	323
BONNA-12_COSMIC	227
BPH-1_COSMIC	178
BT-20_COSMIC	455
BT-474_COSMIC	1149
BT-483_COSMIC	543
BT-549_COSMIC	238
BV-173_COSMIC	386
BXPC-3_COSMIC	278
C-33-A_COSMIC	2532
C-4-I_COSMIC	354
C2BBE1_COSMIC	393
C32_COSMIC	401
C3A_COSMIC	434
CA-SKI_COSMIC	470
CA46_COSMIC	466
CA9-22_COSMIC	671
CADO-ES1_COSMIC	482
CAKI-1_COSMIC	296
CAL-120_COSMIC	201
CAL-12T_COSMIC	809
CAL-148_COSMIC	790
CAL-27_COSMIC	540
CAL-29_COSMIC	273
CAL-33_COSMIC	394
CAL-39_COSMIC	449
CAL-51_COSMIC	959
CAL-54_COSMIC	312
CAL-62_COSMIC	235
CAL-72_COSMIC	579
CAL-78_COSMIC	401
CAL-85-1_COSMIC	661
CALU-3_COSMIC	297
CALU-6_COSMIC	266
CAMA-1_COSMIC	515
CAOV-3_COSMIC	382
CAOV-4_COSMIC	243
CAPAN-1_COSMIC	327
CAPAN-2_COSMIC	208
CAR-1_COSMIC	451
CAS-1_COSMIC	343
CCF-STTG1_COSMIC	270
CCK-81_COSMIC	3853
CCRF-CEM_COSMIC	1850
CESS_COSMIC	386
CFPAC-1_COSMIC	215
CGTH-W-1_COSMIC	264
CHAGO-K-1_COSMIC	790
CHL-1_COSMIC	1135
CHP-126_COSMIC	231
CHP-134_COSMIC	310
CHP-212_COSMIC	213
CHSA0011_COSMIC	221
CHSA0108_COSMIC	214
CHSA8926_COSMIC	253
CL-11_COSMIC	262
CL-34_COSMIC	1592
CL-40_COSMIC	455
CMK_COSMIC	699
CML-T1_COSMIC	2624
COLO-205_COSMIC	272
COLO-320-HSR_COSMIC	300
COLO-668_COSMIC	725
COLO-678_COSMIC	303
COLO-679_COSMIC	781
COLO-680N_COSMIC	491
COLO-684_COSMIC	1062
COLO-741_COSMIC	435
COLO-783_COSMIC	935
COLO-792_COSMIC	2832
COLO-800_COSMIC	362
COLO-824_COSMIC	467
COLO-829_COSMIC	338
COR-L105_COSMIC	226
COR-L23_COSMIC	350
COR-L279_COSMIC	321
COR-L303_COSMIC	360
COR-L311_COSMIC	273
COR-L321_COSMIC	692
COR-L32_COSMIC	473
COR-L88_COSMIC	536
COR-L95_COSMIC	515
CP50-MEL-B_COSMIC	215
CP66-MEL_COSMIC	1225
CP67-MEL_COSMIC	1048
CPC-N_COSMIC	482
CRO-AP2_COSMIC	653
CRO-AP3_COSMIC	426
CS1_COSMIC	284
CTB-1_COSMIC	696
CTV-1_COSMIC	5226
CW-2_COSMIC	10060
D-245MG_COSMIC	279
D-247MG_COSMIC	307
D-263MG_COSMIC	220
D-283MED_COSMIC	177
D-336MG_COSMIC	247
D-392MG_COSMIC	264
D-423MG_COSMIC	209
D-502MG_COSMIC	263
D-542MG_COSMIC	106
D-566MG_COSMIC	184
DAN-G_COSMIC	286
DAOY_COSMIC	261
DAUDI_COSMIC	10800
DBTRG-05MG_COSMIC	595
DB_COSMIC	392
DEL_COSMIC	337
DETROIT562_COSMIC	259
DG-75_COSMIC	2043
DIFI_COSMIC	307
DJM-1_COSMIC	819
DK-MG_COSMIC	240
DMS-114_COSMIC	371
DMS-273_COSMIC	503
DMS-53_COSMIC	520
DMS-79_COSMIC	625
DND-41_COSMIC	3285
DOHH-2_COSMIC	239
DOK_COSMIC	254
DOTC2-4510_COSMIC	464
DOV13_COSMIC	370
DSH1_COSMIC	482
DU-145_COSMIC	3678
DU-4475_COSMIC	328
EB-3_COSMIC	585
EB2_COSMIC	971
EBC-1_COSMIC	630
EC-GI-10_COSMIC	468
ECC10_COSMIC	620
ECC12_COSMIC	537
EFM-192A_COSMIC	231
EFM-19_COSMIC	325
EFO-21_COSMIC	364
EFO-27_COSMIC	1791
EGI-1_COSMIC	350
EHEB_COSMIC	220
EJM_COSMIC	750
EKVX_COSMIC	605
EM-2_COSMIC	302
EMC-BAC-1_COSMIC	712
EMC-BAC-2_COSMIC	260
EN_COSMIC	7043
EOL-1-CELL_COSMIC	485
EPLC-272H_COSMIC	536
ES-2_COSMIC	703
ES1_COSMIC	281
ES3_COSMIC	227
ES4_COSMIC	263
ES5_COSMIC	246
ES6_COSMIC	263
ES7_COSMIC	258
ES8_COSMIC	347
ESO26_COSMIC	358
ESO51_COSMIC	406
ESS-1_COSMIC	1390
ETK-1_COSMIC	550
EVSA-T_COSMIC	739
EW-11_COSMIC	384
EW-12_COSMIC	286
EW-13_COSMIC	340
EW-16_COSMIC	256
EW-18_COSMIC	283
EW-1_COSMIC	257
EW-22_COSMIC	202
EW-24_COSMIC	276
