CL	Count
786_0_CELLMINER	579
A498_CELLMINER	395
A549_CELLMINER	493
ACHN_CELLMINER	304
BT_549_CELLMINER	412
CAKI_1_CELLMINER	345
CCRF_CEM_CELLMINER	1615
COLO205_CELLMINER	463
DU_145_CELLMINER	2250
EKVX_CELLMINER	749
HCC_2998_CELLMINER	9502
HCT_116_CELLMINER	3264
HCT_15_CELLMINER	8444
HL_60_CELLMINER	362
HOP_62_CELLMINER	900
HOP_92_CELLMINER	558
HS578T_CELLMINER	828
HT29_CELLMINER	811
IGROV1_CELLMINER	1147
KM12_CELLMINER	3660
K_562_CELLMINER	653
LOXIMVI_CELLMINER	803
M14_CELLMINER	1746
MALME_3M_CELLMINER	504
MCF7_CELLMINER	1016
MDA_MB_231_CELLMINER	508
MDA_MB_435_CELLMINER	1942
MDA_N_CELLMINER	1897
MOLT_4_CELLMINER	4479
NCI_ADR_RES_CELLMINER	461
NCI_H226_CELLMINER	283
NCI_H23_CELLMINER	1121
NCI_H322M_CELLMINER	732
NCI_H460_CELLMINER	602
NCI_H522_CELLMINER	452
OVCAR_3_CELLMINER	411
OVCAR_4_CELLMINER	413
OVCAR_5_CELLMINER	411
OVCAR_8_CELLMINER	379
PC_3_CELLMINER	327
RPMI_8226_CELLMINER	786
RXF_393_CELLMINER	428
SF_268_CELLMINER	418
SF_295_CELLMINER	354
SF_539_CELLMINER	443
SK_MEL_28_CELLMINER	690
SK_MEL_2_CELLMINER	1052
SK_MEL_5_CELLMINER	636
SK_OV_3_CELLMINER	542
SN12C_CELLMINER	852
SNB_19_CELLMINER	303
SNB_75_CELLMINER	334
SR_CELLMINER	392
SW_620_CELLMINER	549
T47D_CELLMINER	689
TK_10_CELLMINER	612
U251_CELLMINER	733
UACC_257_CELLMINER	540
UACC_62_CELLMINER	1099
UO_31_CELLMINER	471
BON1_ploidy3_custom	71792
